img_id,path,img_type,scenario,incompatible_ids
t1,1.jpg,start,Anlagenring,
t2,2.jpg,start,Anlagenring,
w1,Walk/Anlagenring_20260610_181433710.jpg,walk,Anlagenring,
w2,Walk/Anlagenring_20260610_181727007.jpg,walk,Anlagenring,
w3,Walk/Anlagenring_20260610_181908946.jpg,walk,Anlagenring,
w4,Walk/Anlagenring_20260610_181938325.jpg,walk,Anlagenring,
w5,Walk/Anlagenring_20260610_182558647.jpg,walk,Anlagenring,w6
w6,Walk/Anlagenring_20260610_182742074.jpg,walk,Anlagenring,w5
w7,Walk/Anlagenring_20260610_182838468.jpg,walk,Anlagenring,
w8,Walk/Anlagenring_20260610_182940336.jpg,walk,Anlagenring,
w9,Walk/Anlagenring_20260610_183057209.jpg,walk,Anlagenring,
w10,Walk/Anlagenring_20260610_183120063.jpg,walk,Anlagenring,
w11,Walk/Anlagenring_20260610_183409296.jpg,walk,Anlagenring,
w12,Walk/Anlagenring_20260610_183444268.jpg,walk,Anlagenring,
w13,Walk/Anlagenring_20260610_183805109.jpg,walk,Anlagenring,
w14,Walk/Anlagenring_20260610_183946741.jpg,walk,Anlagenring,w15
w15,Walk/Anlagenring_20260610_184053438.jpg,walk,Anlagenring,w14
w16,Walk/Anlagenring_20260610_184334497.jpg,walk,Anlagenring,w17
w17,Walk/Anlagenring_20260610_184424079.jpg,walk,Anlagenring,w16
w18,Walk/Anlagenring_20260610_184508714.jpg,walk,Anlagenring,
w19,Walk/Anlagenring_20260610_184636935.jpg,walk,Anlagenring,
w20,Walk/Anlagenring_20260610_184803495.jpg,walk,Anlagenring,w21
w21,Walk/Anlagenring_20260610_184900185.jpg,walk,Anlagenring,w20
w22,Walk/Anlagenring_20260610_185005695.jpg,walk,Anlagenring,
w23,Walk/Anlagenring_20260610_185112353.jpg,walk,Anlagenring,
w24,Walk/Anlagenring_20260610_185212092.jpg,walk,Anlagenring,
w25,Walk/Anlagenring_20260610_185611028.jpg,walk,Anlagenring,
w26,Walk/Anlagenring_20260610_185718181.jpg,walk,Anlagenring,
w27,Walk/Anlagenring_20260610_185916511.jpg,walk,Anlagenring,
w28,Walk/Anlagenring_20260610_190020172.jpg,walk,Anlagenring,w29
w29,Walk/Anlagenring_20260610_190107324.jpg,walk,Anlagenring,w28
w30,Walk/Anlagenring_20260610_190131458.jpg,walk,Anlagenring,
w31,Walk/Anlagenring_20260610_190313835.jpg,walk,Anlagenring,
w32,Walk/Anlagenring_20260610_190400330.jpg,walk,Anlagenring,
w33,Walk/Anlagenring_20260610_190701348.jpg,walk,Anlagenring,
w34,Walk/Anlagenring_20260610_190726317.jpg,walk,Anlagenring,
w35,Walk/Anlagenring_20260610_190819053.jpg,walk,Anlagenring,w36
w36,Walk/Anlagenring_20260610_190900914.jpg,walk,Anlagenring,w35
w37,Walk/Anlagenring_20260610_191009709.jpg,walk,Anlagenring,
w38,Walk/Anlagenring_20260610_191200939.jpg,walk,Anlagenring,
w39,Walk/Anlagenring_20260610_191317880.jpg,walk,Anlagenring,
w40,Walk/Anlagenring_20260610_191424555.jpg,walk,Anlagenring,
w41,Walk/Anlagenring_20260610_192139719.jpg,walk,Anlagenring,
w42,Walk/Anlagenring_20260610_192411849.jpg,walk,Anlagenring,w43
w43,Walk/Anlagenring_20260610_192649201.jpg,walk,Anlagenring,w42
w44,Walk/Anlagenring_20260610_192950472.jpg,walk,Anlagenring,w45
w45,Walk/Anlagenring_20260610_193219468.jpg,walk,Anlagenring,w44
w46,Walk/Anlagenring_20260610_193319133.jpg,walk,Anlagenring,
w47,Walk/Anlagenring_20260610_193526471.jpg,walk,Anlagenring,
w48,Walk/Anlagenring_20260610_193645847.jpg,walk,Anlagenring,
w49,Walk/Anlagenring_20260610_193739746.jpg,walk,Anlagenring,
w50,Walk/Anlagenring_20260610_193815546.jpg,walk,Anlagenring,
w51,Walk/Anlagenring_20260610_194104433.jpg,walk,Anlagenring,
w52,Walk/Anlagenring_20260610_194535579.jpg,walk,Anlagenring,
w53,Walk/Anlagenring_20260610_194634058.jpg,walk,Anlagenring,
w54,Walk/Anlagenring_20260610_194800019.jpg,walk,Anlagenring,
w55,Walk/Anlagenring_20260610_194931268.jpg,walk,Anlagenring,
w56,Walk/Anlagenring_20260610_195007357.jpg,walk,Anlagenring,
w57,Walk/Anlagenring_20260610_195228146.jpg,walk,Anlagenring,
w58,Walk/Anlagenring_20260610_195656507.jpg,walk,Anlagenring,
w59,Walk/Anlagenring_20260610_195751310.jpg,walk,Anlagenring,
w60,Walk/Anlagenring_20260610_200120852.jpg,walk,Anlagenring,
w61,Walk/Anlagenring_20260610_200145610.jpg,walk,Anlagenring,
w62,Walk/Anlagenring_20260610_200300497.jpg,walk,Anlagenring,
w63,Walk/Anlagenring_20260610_200327772.jpg,walk,Anlagenring,
w64,Walk/Anlagenring_20260610_200542156.jpg,walk,Anlagenring,
w65,Walk/Anlagenring_20260610_200707017.jpg,walk,Anlagenring,
w66,Walk/Anlagenring_20260610_200826907.jpg,walk,Anlagenring,
w67,Walk/Anlagenring_20260610_201149423.jpg,walk,Anlagenring,w68
w68,Walk/Anlagenring_20260610_201211935.jpg,walk,Anlagenring,w67
w69,Walk/Anlagenring_20260610_201245414.jpg,walk,Anlagenring,
w70,Walk/Anlagenring_20260610_201405131.jpg,walk,Anlagenring,
w71,Walk/Anlagenring_20260610_201501458.jpg,walk,Anlagenring,
w72,Walk/Anlagenring_20260610_201654552.jpg,walk,Anlagenring,w73
w73,Walk/Anlagenring_20260610_201721056.jpg,walk,Anlagenring,w72
w74,Walk/Anlagenring_20260610_201808871.jpg,walk,Anlagenring,
w75,Walk/Anlagenring_20260610_201933087.jpg,walk,Anlagenring,
w76,Walk/Anlagenring_20260610_202033739.jpg,walk,Anlagenring,w77
w77,Walk/Anlagenring_20260610_202118609.jpg,walk,Anlagenring,w76
w78,Walk/Anlagenring_20260610_202212764.jpg,walk,Anlagenring,
w79,Walk/Anlagenring_20260610_202248742.jpg,walk,Anlagenring,
