img_id,path,img_type,scenario,incompatible_ids
s1,Stay/Anlagenring_20260610_181614450.jpg,stay,Anlagenring,
s2,Stay/Anlagenring_20260610_181753467.jpg,stay,Anlagenring,
s3,Stay/Anlagenring_20260610_182313815.jpg,stay,Anlagenring,
s4,Stay/Anlagenring_20260610_182435443.jpg,stay,Anlagenring,
s5,Stay/Anlagenring_20260610_182449731.jpg,stay,Anlagenring,
s6,Stay/Anlagenring_20260610_182558647.jpg,stay,Anlagenring,s7
s7,Stay/Anlagenring_20260610_183409296.jpg,stay,Anlagenring,s6
s8,Stay/Anlagenring_20260610_183444268.jpg,stay,Anlagenring,
s9,Stay/Anlagenring_20260610_183607948.jpg,stay,Anlagenring,
s10,Stay/Anlagenring_20260610_183901480.jpg,stay,Anlagenring,
s11,Stay/Anlagenring_20260610_184137795.jpg,stay,Anlagenring,
s12,Stay/Anlagenring_20260610_184246340.jpg,stay,Anlagenring,
s13,Stay/Anlagenring_20260610_184324834.jpg,stay,Anlagenring,
s14,Stay/Anlagenring_20260610_184407746.jpg,stay,Anlagenring,
s15,Stay/Anlagenring_20260610_184424079.jpg,stay,Anlagenring,"[s16,s17]"
s16,Stay/Anlagenring_20260610_184435917.jpg,stay,Anlagenring,s15
s17,Stay/Anlagenring_20260610_184451237.jpg,stay,Anlagenring,s15
s18,Stay/Anlagenring_20260610_184803495.jpg,stay,Anlagenring,s19
s19,Stay/Anlagenring_20260610_184900185.jpg,stay,Anlagenring,s18
s20,Stay/Anlagenring_20260610_185228587.jpg,stay,Anlagenring,
s21,Stay/Anlagenring_20260610_185328296.jpg,stay,Anlagenring,s22
s22,Stay/Anlagenring_20260610_185355813.jpg,stay,Anlagenring,s21
s23,Stay/Anlagenring_20260610_185941602.jpg,stay,Anlagenring,s25
s24,Stay/Anlagenring_20260610_190107324.jpg,stay,Anlagenring,
s25,Stay/Anlagenring_20260610_190131458.jpg,stay,Anlagenring,s23
s26,Stay/Anlagenring_20260610_190235234.jpg,stay,Anlagenring,
s27,Stay/Anlagenring_20260610_191317880.jpg,stay,Anlagenring,
s28,Stay/Anlagenring_20260610_191335351.jpg,stay,Anlagenring,
s29,Stay/Anlagenring_20260610_191407538.jpg,stay,Anlagenring,
s30,Stay/Anlagenring_20260610_191603523.jpg,stay,Anlagenring,
s31,Stay/Anlagenring_20260610_192139719.jpg,stay,Anlagenring,
s32,Stay/Anlagenring_20260610_192411849.jpg,stay,Anlagenring,s33
s33,Stay/Anlagenring_20260610_192649201.jpg,stay,Anlagenring,s32
s34,Stay/Anlagenring_20260610_192812598.jpg,stay,Anlagenring,
s35,Stay/Anlagenring_20260610_192920236.jpg,stay,Anlagenring,
s36,Stay/Anlagenring_20260610_193104327.jpg,stay,Anlagenring,
s37,Stay/Anlagenring_20260610_193219468.jpg,stay,Anlagenring,
s38,Stay/Anlagenring_20260610_193319133.jpg,stay,Anlagenring,
s39,Stay/Anlagenring_20260610_193357892.jpg,stay,Anlagenring,
s40,Stay/Anlagenring_20260610_193526471.jpg,stay,Anlagenring,
s41,Stay/Anlagenring_20260610_193645847.jpg,stay,Anlagenring,
s42,Stay/Anlagenring_20260610_193815546.jpg,stay,Anlagenring,
s43,Stay/Anlagenring_20260610_194104433.jpg,stay,Anlagenring,
s44,Stay/Anlagenring_20260610_194206458.jpg,stay,Anlagenring,
s45,Stay/Anlagenring_20260610_194634058.jpg,stay,Anlagenring,
s46,Stay/Anlagenring_20260610_194931268.jpg,stay,Anlagenring,
s47,Stay/Anlagenring_20260610_195751310.jpg,stay,Anlagenring,
s48,Stay/Anlagenring_20260610_195947076.jpg,stay,Anlagenring,
s49,Stay/Anlagenring_20260610_200120852.jpg,stay,Anlagenring,
s50,Stay/Anlagenring_20260610_200928017.jpg,stay,Anlagenring,
s51,Stay/Anlagenring_20260610_201245414.jpg,stay,Anlagenring,
s52,Stay/Anlagenring_20260610_201405131.jpg,stay,Anlagenring,
s53,Stay/Anlagenring_20260610_201721056.jpg,stay,Anlagenring,
s54,Stay/Anlagenring_20260610_201808871.jpg,stay,Anlagenring,
s55,Stay/Anlagenring_20260610_201933087.jpg,stay,Anlagenring,
s56,Stay/Anlagenring_20260610_202843418.jpg,stay,Anlagenring,
