question_id,question,options,user_options
gender,Welches Geschlecht haben Sie?,"[Man,Woman,Other,Prefer not to say]","[Mann 👨,Frau 👩,Divers,Keine Angabe]"
age,Zu welcher Altersgruppe gehören Sie?,"[<18,18-30,30-45,45-65,>65]","[<18,18–30,30–45,45–65,>65]"
car,Haben Sie Zugang zu einem Auto für die private Nutzung?,"[Yes,No]","[Ja 👍,Nein 👎]"
mode,Wie legen Sie normalerweise Ihren Arbeits- Studien- oder sonstigen regelmäßigen Weg zurück?,"[Car,Public Transport,Bike,Walk,Other]","[Auto 🚗,Öffentliche Verkehrsmittel 🚆,Fahrrad 🚲,Zu Fuß 🚶,Sonstiges ❓]"
children,Haben Sie Kinder?,"[Yes,No]","[Ja 👍,Nein 👎]"
studies,Welchen höchsten Bildungsabschluss haben Sie erreicht?,"[Grundschule,Sekundarschule,Berufsausbildung,Universität,Sonstiges]","[Grundschule 📚,Sekundarschule 🏫,Berufsausbildung 🛠️,Universität 🎓,Sonstiges ❓]"
home,Wie lautet Ihre Postleitzahl?,"5-digit","5-stellig"
start,"Klicken Sie zum Start auf das Bild, das Sie bevorzugen, oder auf „=“, wenn Ihnen beide gleich gut gefallen.","",""
general-preference,Welche Straße bevorzugen Sie?,"",""
physical-reason,"Warum haben Sie {AB_selection} gewählt? Wählen Sie einen Grund aus:","[trees,fewer cars,sun/light,people,buildings]","[Bäume 🌳,Weniger Autos 🚗,Sonne/Licht ☀️,Menschen 👥,Gebäude 🏢]"
walk-init,Wo würden Sie lieber zu Fuß gehen?,"[Continue]","[Weiter]"
walk-preference,Wo würden Sie lieber zu Fuß gehen?,"",""
bike-init,Wo würden Sie lieber Fahrrad fahren?,"[Continue]","[Weiter]"
bike-preference,Wo würden Sie lieber Fahrrad fahren?,"",""
stay-init,Wo würden Sie sich lieber aufhalten?,"[Continue]","[Weiter]"
stay-preference,Wo würden Sie sich lieber aufhalten?,"",""
