scenario,question_id,img_type,save_answer
test,start,start,False
test,"[gender,age,car,mode]","",True
test,"[children,studies,home]","",True
test,"[general-preference,physical-reason]",test,True
test,general-preference,test,True
Anlagenring,start,start,True
Anlagenring,walk-init,,False
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,stay-init,,False
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,bike-init,,False
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,walk-init,,False
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,stay-init,,False
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,bike-init,,False
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,walk-init,,False
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,stay-init,,False
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,bike-init,,False
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,walk-init,,False
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,walk-preference,walk,True
Anlagenring,stay-init,,False
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,stay-preference,stay,True
Anlagenring,bike-init,,False
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
Anlagenring,bike-preference,bike,True
