img_id,path,img_type,scenario,incompatible_ids,_abs_path,_serve_path,_img_source_idx,batch_id,score_start,uncertainty_start,n_answers_start,active_batch_start,score_walk-preference,uncertainty_walk-preference,n_answers_walk-preference,active_batch_walk-preference,score_bike-preference,uncertainty_bike-preference,n_answers_bike-preference,active_batch_bike-preference,score_general-preference,uncertainty_general-preference,n_answers_general-preference,active_batch_general-preference,score_stay-preference,uncertainty_stay-preference,n_answers_stay-preference,active_batch_stay-preference
t1,1.jpg,start,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/1.jpg,/images/0/1.jpg,0,1,5.762849838501426,0.14925784381003154,20,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
t2,2.jpg,start,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/2.jpg,/images/0/2.jpg,0,1,4.2371501614985725,0.14925784381003154,20,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w1,Walk/Anlagenring_20260610_181433710.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_181433710.jpg,/images/0/Walk/Anlagenring_20260610_181433710.jpg,0,2,5.0,0.5,0,1,5.314841419645111,0.3319038505031493,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w2,Walk/Anlagenring_20260610_181727007.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_181727007.jpg,/images/0/Walk/Anlagenring_20260610_181727007.jpg,0,2,5.0,0.5,0,1,6.361661718736144,0.28781094210420777,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w3,Walk/Anlagenring_20260610_181908946.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_181908946.jpg,/images/0/Walk/Anlagenring_20260610_181908946.jpg,0,3,5.0,0.5,0,1,5.637807683443717,0.33393577168304706,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w4,Walk/Anlagenring_20260610_181938325.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_181938325.jpg,/images/0/Walk/Anlagenring_20260610_181938325.jpg,0,5,5.0,0.5,0,1,6.728944044951568,0.3420314791206278,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w5,Walk/Anlagenring_20260610_182558647.jpg,walk,Anlagenring,w6,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_182558647.jpg,/images/0/Walk/Anlagenring_20260610_182558647.jpg,0,3,5.0,0.5,0,1,5.698435293072497,0.3306952390869037,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w6,Walk/Anlagenring_20260610_182742074.jpg,walk,Anlagenring,w5,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_182742074.jpg,/images/0/Walk/Anlagenring_20260610_182742074.jpg,0,1,5.0,0.5,0,1,7.055093889002912,0.251349613756984,8,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w7,Walk/Anlagenring_20260610_182838468.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_182838468.jpg,/images/0/Walk/Anlagenring_20260610_182838468.jpg,0,2,5.0,0.5,0,1,4.666882254248991,0.2813819726853543,5,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w8,Walk/Anlagenring_20260610_182940336.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_182940336.jpg,/images/0/Walk/Anlagenring_20260610_182940336.jpg,0,3,5.0,0.5,0,1,5.468072822713292,0.2695009914866518,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w9,Walk/Anlagenring_20260610_183057209.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_183057209.jpg,/images/0/Walk/Anlagenring_20260610_183057209.jpg,0,2,5.0,0.5,0,1,5.417221595586999,0.28683749415973336,5,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w10,Walk/Anlagenring_20260610_183120063.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_183120063.jpg,/images/0/Walk/Anlagenring_20260610_183120063.jpg,0,3,5.0,0.5,0,1,3.6400480511046305,0.36930745770766316,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w11,Walk/Anlagenring_20260610_183409296.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_183409296.jpg,/images/0/Walk/Anlagenring_20260610_183409296.jpg,0,4,5.0,0.5,0,1,5.889211757105209,0.31441987810614136,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w12,Walk/Anlagenring_20260610_183444268.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_183444268.jpg,/images/0/Walk/Anlagenring_20260610_183444268.jpg,0,4,5.0,0.5,0,1,4.590994055437639,0.3273840289061972,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w13,Walk/Anlagenring_20260610_183805109.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_183805109.jpg,/images/0/Walk/Anlagenring_20260610_183805109.jpg,0,1,5.0,0.5,0,1,6.067344815122837,0.29509610881696713,5,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w14,Walk/Anlagenring_20260610_183946741.jpg,walk,Anlagenring,w15,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_183946741.jpg,/images/0/Walk/Anlagenring_20260610_183946741.jpg,0,3,5.0,0.5,0,1,6.365606717768397,0.30318434302299035,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w15,Walk/Anlagenring_20260610_184053438.jpg,walk,Anlagenring,w14,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_184053438.jpg,/images/0/Walk/Anlagenring_20260610_184053438.jpg,0,2,5.0,0.5,0,1,4.480221743004888,0.29098039512687895,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w16,Walk/Anlagenring_20260610_184334497.jpg,walk,Anlagenring,w17,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_184334497.jpg,/images/0/Walk/Anlagenring_20260610_184334497.jpg,0,1,5.0,0.5,0,1,6.314605673002733,0.30262671124879603,5,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w17,Walk/Anlagenring_20260610_184424079.jpg,walk,Anlagenring,w16,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_184424079.jpg,/images/0/Walk/Anlagenring_20260610_184424079.jpg,0,2,5.0,0.5,0,1,5.406606543318217,0.25785589699435457,6,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
