_id,img_id,path,img_type,scenario,incompatible_ids,_serve_path,_abs_path,_img_source_idx,batch_id,score_walk-preference,uncertainty_walk-preference,n_answers_walk-preference,active_batch_walk-preference,score_start,uncertainty_start,n_answers_start,active_batch_start,score_bike-preference,uncertainty_bike-preference,n_answers_bike-preference,active_batch_bike-preference,score_stay-preference,uncertainty_stay-preference,n_answers_stay-preference,active_batch_stay-preference,score_general-preference,uncertainty_general-preference,n_answers_general-preference,active_batch_general-preference
{'$oid': '6a2e74efa21d4516033c83d4'},t1,1.jpg,start,Anlagenring,nan,/images/0/1.jpg,/home/miguelup/survey_app/images/Anlagenring/1.jpg,0,1,5.0,0.5,0,1,5.723553815608855,0.11191670268660145,31,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83d5'},t2,2.jpg,start,Anlagenring,nan,/images/0/2.jpg,/home/miguelup/survey_app/images/Anlagenring/2.jpg,0,1,5.0,0.5,0,1,4.276446184391142,0.11191670268660145,31,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83d6'},w1,Walk/Anlagenring_20260610_181433710.jpg,walk,Anlagenring,nan,/images/0/Walk/Anlagenring_20260610_181433710.jpg,/home/miguelup/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_181433710.jpg,0,4,6.255682909564103,0.2594643871615713,5,2,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83d7'},w2,Walk/Anlagenring_20260610_181727007.jpg,walk,Anlagenring,nan,/images/0/Walk/Anlagenring_20260610_181727007.jpg,/home/miguelup/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_181727007.jpg,0,2,6.451001293380367,0.21698244253308477,8,2,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83d8'},w3,Walk/Anlagenring_20260610_181908946.jpg,walk,Anlagenring,nan,/images/0/Walk/Anlagenring_20260610_181908946.jpg,/home/miguelup/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_181908946.jpg,0,4,6.613464879973816,0.2500653270794901,6,2,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83d9'},w4,Walk/Anlagenring_20260610_181938325.jpg,walk,Anlagenring,nan,/images/0/Walk/Anlagenring_20260610_181938325.jpg,/home/miguelup/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_181938325.jpg,0,3,7.547213016398767,0.2664170459283681,5,2,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83da'},w5,Walk/Anlagenring_20260610_182558647.jpg,walk,Anlagenring,w6,/images/0/Walk/Anlagenring_20260610_182558647.jpg,/home/miguelup/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_182558647.jpg,0,4,5.993295085486228,0.24264676865637144,6,2,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83db'},w6,Walk/Anlagenring_20260610_182742074.jpg,walk,Anlagenring,w5,/images/0/Walk/Anlagenring_20260610_182742074.jpg,/home/miguelup/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_182742074.jpg,0,3,7.2678062197569275,0.2310585760312985,10,2,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83dc'},w7,Walk/Anlagenring_20260610_182838468.jpg,walk,Anlagenring,nan,/images/0/Walk/Anlagenring_20260610_182838468.jpg,/home/miguelup/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_182838468.jpg,0,1,5.000456472664299,0.1945412277682314,10,2,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83dd'},w8,Walk/Anlagenring_20260610_182940336.jpg,walk,Anlagenring,nan,/images/0/Walk/Anlagenring_20260610_182940336.jpg,/home/miguelup/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_182940336.jpg,0,4,5.21287290660772,0.23844927176107253,6,2,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
{'$oid': '6a2e74efa21d4516033c83de'},w9,Walk/Anlagenring_20260610_183057209.jpg,walk,Anlagenring,nan,/images/0/Walk/Anlagenring_20260610_183057209.jpg,/home/miguelup/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_183057209.jpg,0,3,4.382256175068517,0.21563955859577763,8,2,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
