user_id,scenario,language,question_id,type,answer,img_id_A,img_id_B,img_type,info
424449,Anlagenring,english,start,AB,B,t2,t1,start,
424449,Anlagenring,english,walk-init,CHOICE,Continue,,,,
424449,Anlagenring,english,walk-preference,AB,=,w56,w82,walk,
424449,Anlagenring,english,walk-preference,AB,B,w55,w84,walk,
424449,Anlagenring,english,walk-preference,AB,B,g5,w56,walk,
424449,Anlagenring,english,walk-preference,AB,A,w69,w55,walk,
424449,Anlagenring,english,walk-preference,AB,B,w84,w22,walk,
424449,Anlagenring,english,stay-init,CHOICE,Continue,,,,
424449,Anlagenring,english,stay-preference,AB,=,s13,s18,stay,
424449,Anlagenring,english,stay-preference,AB,A,s31,s23,stay,
424449,Anlagenring,english,stay-preference,AB,=,s51,s18,stay,
424449,Anlagenring,english,stay-preference,AB,A,s49,s13,stay,
424449,Anlagenring,english,stay-preference,AB,B,s56,s51,stay,
424449,Anlagenring,english,bike-init,CHOICE,Continue,,,,
424449,Anlagenring,english,bike-preference,AB,=,b52,g17,bike,
424449,Anlagenring,english,bike-preference,AB,A,b25,b66,bike,
424449,Anlagenring,english,bike-preference,AB,A,b22,b52,bike,
424449,Anlagenring,english,bike-preference,AB,A,g9,g17,bike,
424449,Anlagenring,english,bike-preference,AB,B,b22,b50,bike,
424449,Anlagenring,english,walk-init,CHOICE,Continue,,,,
424449,Anlagenring,english,walk-preference,AB,B,w82,w7,walk,
424449,Anlagenring,english,walk-preference,AB,=,g5,w52,walk,
3148341,Anlagenring,english,start,AB,B,t1,t2,start,
3148341,Anlagenring,english,walk-init,CHOICE,Continue,,,,
5067429,Anlagenring,english,start,AB,B,t2,t1,start,
5067429,Anlagenring,english,walk-init,CHOICE,Continue,,,,
3148341,Anlagenring,german,start,AB,A,t1,t2,start,
3148341,Anlagenring,german,walk-init,CHOICE,Continue,,,,
3148341,Anlagenring,german,walk-preference,AB,A,w18,w56,walk,
3148341,Anlagenring,german,walk-preference,AB,B,w52,w67,walk,
3148341,Anlagenring,german,walk-preference,AB,A,w69,w33,walk,
3148341,Anlagenring,german,walk-preference,AB,B,w14,w7,walk,
3148341,Anlagenring,german,walk-preference,AB,A,g5,w32,walk,
3148341,Anlagenring,german,stay-init,CHOICE,Continue,,,,
5067429,Anlagenring,english,walk-preference,AB,B,w67,w22,walk,
3148341,Anlagenring,german,stay-preference,AB,A,s16,s23,stay,
3148341,Anlagenring,german,stay-preference,AB,A,s7,s31,stay,
3148341,Anlagenring,german,stay-preference,AB,A,s18,s27,stay,
3148341,Anlagenring,german,stay-preference,AB,B,s51,s25,stay,
3148341,Anlagenring,german,stay-preference,AB,A,s45,s56,stay,
3148341,Anlagenring,german,bike-init,CHOICE,Continue,,,,
